marker1
0.431782	0.4789305	0.1238915
0.421341	0.409172	0.113525
0.441439	0.548689	0.13251
0.43577	0.442682	0.118746
0.434464	0.513338	0.135635
0.44104	0.420054	0.112039
0.421579	0.45968	0.121938
0.419145	0.429803	0.120643
0.443931	0.529241	0.127739
0.426146	0.496959	0.128355
0.421716	0.444503	0.124351
0.429802	0.467105	0.131647
0.428246	0.420604	0.116411
0.432806	0.486543	0.134451
0.420379	0.47277	0.123057
0.421332	0.485618	0.125988
0.440418	0.536791	0.137116
0.436211	0.504261	0.127317
0.435547	0.52036	0.125696
0.437186	0.43044	0.117132
0.436636	0.525856	0.136583
0.417389	0.418743	0.118405
0.429466	0.452269	0.120469
0.434468	0.491603	0.125736
0.425126	0.442862	0.115065
0.430651	0.463747	0.122493
0.433435	0.49955	0.13539
0.431774	0.47661	0.133266
0.439168	0.422607	0.121449
0.432741	0.512277	0.126463
0.427581	0.457746	0.1278
0.419701	0.437966	0.119851
0.428778	0.414103	0.111675
0.425282	0.47692	0.128143
0.420663	0.451578	0.121126
0.431506	0.471321	0.123386
0.4243	0.464562	0.127054
0.429525	0.48551	0.126617
0.434232	0.422622	0.111768
0.425311	0.42733	0.117663
0.430041	0.445268	0.122242
0.436894	0.519806	0.132715
0.438781	0.531268	0.13256
0.42935	0.503486	0.128013
0.428264	0.491133	0.131412
0.422387	0.418231	0.113805
0.433941	0.497961	0.128481
0.441015	0.541693	0.132451
0.439318	0.436962	0.118375
0.437874	0.526577	0.126404
0.442151	0.425183	0.116115
0.433444	0.506975	0.132649
0.438655	0.514665	0.128087
0.419708	0.479575	0.124458
0.424728	0.47082	0.127197
0.423533	0.49145	0.127532
0.425381	0.452273	0.125024
0.432832	0.426318	0.116461
0.417162	0.412642	0.115992
0.427501	0.457805	0.12134
0.432866	0.493659	0.13491
0.435758	0.42037	0.117012
0.440958	0.521619	0.127634
0.421383	0.467058	0.122506
0.44231	0.535812	0.131749
0.423154	0.433721	0.118009
0.433516	0.437619	0.120217
0.421251	0.424358	0.116125
0.440683	0.526544	0.130863
0.437438	0.509565	0.128339
0.425013	0.439904	0.119339
0.426525	0.48183	0.129055
0.446514	0.533589	0.127879
0.423759	0.413466	0.114619
0.430999	0.471769	0.132537
0.42891	0.462578	0.130083
0.437687	0.425098	0.114184
0.418256	0.425059	0.119892
0.432376	0.481353	0.133796
0.435748	0.501558	0.131253
